timestamp,latitud,longitud,tipo_evento
2025-04-27T20:55:28.927581,-33.65200892857143,-70.47264404296875,leaflet-marker-icon wm-marker-icon is-destination leaflet-zoom-animated leaflet-interactive
2025-04-27T20:55:28.993148,-33.65882936507937,-70.5535400390625,PELIGRO
2025-04-27T20:55:29.054263,-33.68478422619048,-70.59462890625001,PELIGRO
2025-04-27T20:55:29.106061,-33.654067460317464,-70.5896728515625,leaflet-marker-icon wm-alert-cluster-icon wm-alert-cluster-icon--police wm-alert-cluster-icon--default wm-alert-cluster-icon--zoom17 wm-alert-cluster-icon--uniform leaflet-zoom-animated leaflet-interactive
2025-04-27T20:55:29.162314,-33.68022073412698,-70.56824951171875,leaflet-marker-icon wm-alert-cluster-icon wm-alert-cluster-icon--police wm-alert-cluster-icon--default wm-alert-cluster-icon--zoom17 wm-alert-cluster-icon--uniform leaflet-zoom-animated leaflet-interactive
2025-04-27T20:55:29.242112,-33.67782738095239,-70.56173095703126,POLICIA
2025-04-27T20:55:29.297946,-33.660081845238096,-70.58961181640625,PELIGRO
2025-04-27T20:55:29.357275,-33.68431299603175,-70.580908203125,PELIGRO
2025-04-27T20:55:29.403667,-33.62937748015873,-70.58651123046876,POLICIA
2025-04-27T20:55:29.460997,-33.70265376984127,-70.59780273437501,leaflet-marker-icon wm-user-icon wm-user-icon--happy leaflet-zoom-animated
2025-04-27T20:55:29.515728,-33.64577132936508,-70.604052734375,leaflet-marker-icon wm-user-icon wm-user-icon--happy leaflet-zoom-animated
2025-04-27T20:55:29.581869,-33.71860119047619,-70.563671875,leaflet-marker-icon wm-user-icon wm-user-icon--happy leaflet-zoom-animated
2025-04-27T20:55:29.631757,-33.66449652777778,-70.59154052734375,leaflet-marker-icon wm-user-icon wm-user-icon--sunny leaflet-zoom-animated
2025-04-27T20:55:29.699746,-33.64923115079365,-70.5824462890625,leaflet-marker-icon wm-user-icon wm-user-icon--peaceful leaflet-zoom-animated
2025-04-27T20:55:29.715749,-33.65167410714286,-70.82264404296875,leaflet-marker-icon wm-marker-icon is-destination leaflet-zoom-animated leaflet-interactive
2025-04-27T20:55:29.753113,-33.66380208333334,-70.548876953125,leaflet-marker-icon wm-user-icon wm-user-icon--happy leaflet-zoom-animated
2025-04-27T20:55:29.782039,-33.6039310515873,-70.8806640625,PELIGRO
2025-04-27T20:55:29.812513,-33.67213541666667,-70.57447509765625,leaflet-marker-icon wm-user-icon wm-user-icon--happy leaflet-zoom-animated
2025-04-27T20:55:29.841653,-33.675694444444446,-70.8474853515625,PELIGRO
2025-04-27T20:55:29.871218,-33.72137896825397,-70.60064697265625,leaflet-marker-icon wm-user-icon wm-user-icon--happy leaflet-zoom-animated
2025-04-27T20:55:29.901253,-33.60829613095238,-70.870458984375,PELIGRO
2025-04-27T20:55:29.932638,-33.68045634920635,-70.569921875,leaflet-marker-icon wm-user-icon wm-user-icon--LOL leaflet-zoom-animated
2025-04-27T20:55:29.963793,-33.62659970238096,-70.88013916015625,CAMINO CORTADO
2025-04-27T20:55:29.989909,-33.66519097222223,-70.56423339843751,leaflet-marker-icon wm-user-icon wm-user-icon--happy leaflet-zoom-animated
2025-04-27T20:55:30.031894,-33.62687251984127,-70.880078125,CAMINO CORTADO
2025-04-27T20:55:30.047993,-33.69779265873016,-70.56309814453125,leaflet-marker-icon wm-user-icon wm-user-icon--happy leaflet-zoom-animated
2025-04-27T20:55:30.091653,-33.62234623015873,-70.86187744140625,CAMINO CORTADO
2025-04-27T20:55:30.101090,-33.71236359126984,-70.59893798828125,leaflet-marker-icon wm-user-icon wm-user-icon--happy leaflet-zoom-animated
2025-04-27T20:55:30.149078,-33.63165922619048,-70.88072509765625,CAMINO CORTADO
2025-04-27T20:55:30.157084,-33.67976190476191,-70.58187255859376,leaflet-marker-icon wm-user-icon wm-user-icon--happy leaflet-zoom-animated
2025-04-27T20:55:30.205651,-33.62997271825397,-70.88111572265625,CAMINO CORTADO
2025-04-27T20:55:30.211359,-33.67906746031746,-70.60462646484375,leaflet-marker-icon wm-user-icon wm-user-icon--happy leaflet-zoom-animated
2025-04-27T20:55:30.267533,-33.63058035714286,-70.8809814453125,CAMINO CORTADO
2025-04-27T20:55:30.267708,-33.661718750000006,-70.5773193359375,leaflet-marker-icon wm-user-icon wm-user-icon--happy leaflet-zoom-animated
2025-04-27T20:55:30.344644,-33.648536706349205,-70.5830078125,leaflet-marker-icon wm-user-icon wm-user-icon--sunny leaflet-zoom-animated
2025-04-27T20:55:30.380607,-33.627864583333334,-70.88157958984375,CAMINO CORTADO
2025-04-27T20:55:30.412801,-33.657564484126986,-70.56082763671876,leaflet-marker-icon wm-user-icon wm-user-icon--happy leaflet-zoom-animated
2025-04-27T20:55:30.447158,-33.628521825396824,-70.88143310546874,CAMINO CORTADO
2025-04-27T20:55:30.475039,-33.688777281746034,-70.563671875,leaflet-marker-icon wm-user-icon wm-user-icon--peaceful leaflet-zoom-animated
2025-04-27T20:55:30.507658,-33.626463293650794,-70.881884765625,CAMINO CORTADO
2025-04-27T20:55:30.532806,-33.692249503968256,-70.55968017578125,leaflet-marker-icon wm-user-icon wm-user-icon--peaceful leaflet-zoom-animated
2025-04-27T20:55:30.563030,-33.63165922619048,-70.88072509765625,CAMINO CORTADO
2025-04-27T20:55:30.592948,-33.67351190476191,-70.56536865234375,leaflet-marker-icon wm-user-icon wm-user-icon--sunny leaflet-zoom-animated
2025-04-27T20:55:30.626015,-33.62997271825397,-70.88111572265625,CAMINO CORTADO
2025-04-27T20:55:30.686450,-33.632725694444446,-70.88048095703125,CAMINO CORTADO
2025-04-27T20:55:30.744079,-33.627219742063495,-70.88172607421875,CAMINO CORTADO
2025-04-27T20:55:30.815021,-33.62934027777778,-70.88125,CAMINO CORTADO
2025-04-27T20:55:30.871504,-33.631113591269845,-70.88084716796875,CAMINO CORTADO
2025-04-27T20:55:30.928090,-33.628521825396824,-70.88143310546874,CAMINO CORTADO
2025-04-27T20:55:30.986980,-33.63218005952381,-70.88060302734375,CAMINO CORTADO
2025-04-27T20:55:31.070383,-33.631113591269845,-70.88084716796875,CAMINO CORTADO
2025-04-27T20:55:31.154332,-33.627219742063495,-70.88172607421875,CAMINO CORTADO
2025-04-27T20:55:31.232557,-33.627864583333334,-70.88157958984375,CAMINO CORTADO
2025-04-27T20:55:31.296593,-33.62934027777778,-70.88125,CAMINO CORTADO
2025-04-27T20:55:31.401655,-33.63218005952381,-70.88060302734375,CAMINO CORTADO
2025-04-27T20:55:31.473732,-33.63058035714286,-70.8809814453125,CAMINO CORTADO
2025-04-27T20:55:31.585803,-33.703298611111116,-70.80238037109375,CAMINO CORTADO
2025-04-27T20:55:31.778778,-33.70589037698413,-70.80478515625,CAMINO CORTADO
2025-04-27T20:55:31.957936,-33.62817460317461,-70.87977294921875,CAMINO CORTADO
2025-04-27T20:55:32.074044,-33.628323412698414,-70.88045654296874,CAMINO CORTADO
2025-04-27T20:55:32.163217,-33.58157242063492,-70.88807373046875,leaflet-marker-icon wm-user-icon wm-user-icon--happy leaflet-zoom-animated
2025-04-27T20:55:32.245634,-33.69745783730159,-70.69350585937501,leaflet-marker-icon wm-user-icon wm-user-icon--happy leaflet-zoom-animated
