timestamp,thread_id,latitud,longitud,tipo_evento,estilo_marcador,url_cuadrante
2025-04-26T15:45:37.836657,3,-33.650000000000006,-70.93,DESCONOCIDO,"margin-left: -17px; margin-top: -31px; width: 33px; height: 40px; transform: translate3d(8385px, 3870px, 0px); z-index: 3970;",https://ul.waze.com/ul?ll=-33.650000000000006%2C-70.93&navigate=yes&zoom=16
2025-04-26T15:45:37.855626,3,-33.650000000000006,-70.93,DESCONOCIDO,"transform: translate3d(7294px, 7680px, 0px); z-index: 7680;",https://ul.waze.com/ul?ll=-33.650000000000006%2C-70.93&navigate=yes&zoom=16
2025-04-26T15:45:37.874135,3,-33.650000000000006,-70.93,DESCONOCIDO,"transform: translate3d(4730px, 8071px, 0px); z-index: 8071;",https://ul.waze.com/ul?ll=-33.650000000000006%2C-70.93&navigate=yes&zoom=16
2025-04-26T15:45:37.890341,3,-33.650000000000006,-70.93,DESCONOCIDO,"transform: translate3d(13462px, 295px, 0px); z-index: 295;",https://ul.waze.com/ul?ll=-33.650000000000006%2C-70.93&navigate=yes&zoom=16
2025-04-26T15:45:37.908365,3,-33.650000000000006,-70.93,DESCONOCIDO,"transform: translate3d(13467px, 273px, 0px); z-index: 273;",https://ul.waze.com/ul?ll=-33.650000000000006%2C-70.93&navigate=yes&zoom=16
2025-04-26T15:45:37.926042,3,-33.650000000000006,-70.93,DESCONOCIDO,"transform: translate3d(14958px, 638px, 0px); z-index: 638;",https://ul.waze.com/ul?ll=-33.650000000000006%2C-70.93&navigate=yes&zoom=16
2025-04-26T15:45:37.942709,3,-33.650000000000006,-70.93,DESCONOCIDO,"transform: translate3d(13414px, -113px, 0px); z-index: -113;",https://ul.waze.com/ul?ll=-33.650000000000006%2C-70.93&navigate=yes&zoom=16
2025-04-26T15:45:37.960600,3,-33.650000000000006,-70.93,DESCONOCIDO,"transform: translate3d(13382px, 23px, 0px); z-index: 23;",https://ul.waze.com/ul?ll=-33.650000000000006%2C-70.93&navigate=yes&zoom=16
2025-04-26T15:45:37.979352,3,-33.650000000000006,-70.93,DESCONOCIDO,"transform: translate3d(13393px, -26px, 0px); z-index: -26;",https://ul.waze.com/ul?ll=-33.650000000000006%2C-70.93&navigate=yes&zoom=16
2025-04-26T15:45:37.998343,3,-33.650000000000006,-70.93,DESCONOCIDO,"transform: translate3d(13344px, 193px, 0px); z-index: 193;",https://ul.waze.com/ul?ll=-33.650000000000006%2C-70.93&navigate=yes&zoom=16
2025-04-26T15:45:38.028034,3,-33.650000000000006,-70.93,DESCONOCIDO,"transform: translate3d(13356px, 140px, 0px); z-index: 140;",https://ul.waze.com/ul?ll=-33.650000000000006%2C-70.93&navigate=yes&zoom=16
2025-04-26T15:45:38.050855,3,-33.650000000000006,-70.93,DESCONOCIDO,"transform: translate3d(13319px, 306px, 0px); z-index: 306;",https://ul.waze.com/ul?ll=-33.650000000000006%2C-70.93&navigate=yes&zoom=16
2025-04-26T15:45:38.071904,3,-33.650000000000006,-70.93,DESCONOCIDO,"transform: translate3d(13414px, -113px, 0px); z-index: -113;",https://ul.waze.com/ul?ll=-33.650000000000006%2C-70.93&navigate=yes&zoom=16
